105000001@FUNDAMENTOS FISICOS Y TECNOLOGICOS DE LA INFORMATICA@Basica@6@1@1M:L09-10,M12-13,M13-14,V10-11,V11-12@2M:MI10-11,MI11-12,J09-10,V12-13,V13-14@2M-B:MI10-11,MI11-12,J09-10,V12-13,V13-14@3M:L10-11,L11-12,M09-10,MI12-13,MI13-14
105000002@LOGICA@Basica@6@1@1M:L12-13,L13-14,J10-11,L11-12@2M:M10-11,M11-12,J12-13,J13-14@2M-B:M10-11,M11-12,J12-13,J13-14@3M:M12-13,M13-14.V10-11,V11-12@3M-B:M12-13,M13-14.V10-11,V11-12
105000003@MATEMATICA DISCRETA I@Basica@6@1@1M:MI10-11,MI11-12,J09-10,V12-13,V13-14@2M:L10-11,L11-12,M09-10,MI12-13,MI13-14@2M-B:L10-11,L11-12,M09-10,MI12-13,MI13-14@3M:L12-13,L13-14,MI09-10,J10-11,J11-12@3M-B:L12-13,L13-14,MI09-10,J10-11,J11-12
105000006@ALGEBRA LINEAL@Basica@6@1@1M:L10-11,L11-12,MI12-13,MI13-14@2M:L12-13,L13-14,J10-11,J11-12@2M-B:L12-13,L13-14,J10-11,J11-12@3M:M10-11,M11-12,J12-13,J13-14@3M-B:M10-11,M11-12,J12-13,J13-14
105000013@PROGRAMACION I@Basica@6@1@1M:L10-11,L11-12,J12-13,J13-14@2M:M12-13,M13-14,V10-11,V11-12@2M-B:M12-13,M13-14,V10-11,V11-12@3M:MI10-11,MI11-12,V12-13,V13-14@3M-B:MI10-11,MI11-12,V12-13,V13-14
